iter	Passed	Remaining
0	125	125427
1	301	150502
2	435	144654
3	555	138275
4	691	137601
5	855	141791
6	1016	144188
7	1156	143462
8	1324	145799
9	1442	142800
10	1597	143586
11	1715	141245
12	1860	141290
13	1992	140360
14	2137	140340
15	2260	139039
16	2382	137738
17	2503	136573
18	2666	137696
19	2785	136488
20	2911	135747
21	3056	135854
22	3201	136003
23	3318	134956
24	3463	135085
25	3604	135016
26	3728	134378
27	3831	133024
28	3938	131884
29	4082	131992
30	4196	131160
31	4326	130864
32	4454	130529
33	4579	130099
34	4695	129454
35	4860	130145
36	4990	129884
37	5120	129628
38	5250	129381
39	5398	129574
40	5625	131593
41	5783	131914
42	5905	131435
43	6063	131753
44	6250	132652
45	6437	133509
46	6611	134052
47	6806	134987
48	6958	135054
49	7122	135324
50	7269	135265
51	7386	134665
52	7517	134321
53	7703	134951
54	7857	134999
55	8000	134870
56	8140	134667
57	8343	135513
58	8521	135916
59	8725	136705
60	8852	136265
61	8988	135994
62	9107	135454
63	9216	134794
64	9372	134816
65	9560	135295
66	9694	135003
67	9926	136057
68	10126	136634
69	10297	136815
70	10403	136121
71	10562	136132
72	10708	135982
73	10871	136045
74	11007	135757
75	11173	135850
76	11333	135856
77	11513	136098
78	11705	136461
79	11920	137091
80	12074	136994
81	12233	136960
82	12360	136564
83	12522	136551
84	12670	136393
85	12828	136344
86	12971	136125
87	13141	136194
88	13265	135789
89	13416	135655
90	13580	135655
91	13768	135886
92	13920	135758
93	14104	135943
94	14260	135846
95	14409	135687
96	14566	135603
97	14740	135672
98	15017	136672
99	15218	136967
100	15393	137021
101	15569	137068
102	15741	137088
103	15920	137158
104	16098	137221
105	16247	137028
106	16396	136843
107	16606	137153
108	16804	137365
109	16996	137517
110	17188	137659
111	17362	137659
112	17523	137555
113	17716	137690
114	17924	137939
115	18100	137936
116	18253	137762
117	18433	137782
118	18566	137456
119	18721	137287
120	18907	137350
121	19066	137216
122	19244	137215
123	19441	137345
124	19588	137117
125	19759	137065
126	19975	137309
127	20145	137241
128	20393	137695
129	20639	138122
130	20833	138202
131	21040	138356
132	21217	138311
133	21388	138229
134	21635	138625
135	21880	139003
136	22102	139227
137	22276	139149
138	22434	138962
139	22617	138937
140	22791	138852
141	22958	138723
142	23161	138804
143	23350	138808
144	23537	138790
145	23767	139025
146	23955	139007
147	24172	139156
148	24451	139654
149	24603	139419
150	24755	139186
151	24905	138944
152	25032	138576
153	25238	138645
154	25404	138493
155	25573	138358
156	25756	138297
157	25892	137983
158	26045	137764
159	26214	137624
160	26390	137526
161	26578	137487
162	26752	137373
163	26927	137262
164	27129	137293
165	27344	137381
166	27535	137347
167	27712	137241
168	27893	137157
169	28047	136937
170	28202	136726
171	28373	136586
172	28499	136235
173	28698	136234
174	28832	135925
175	29028	135904
176	29205	135795
177	29381	135681
178	29569	135622
179	29731	135445
180	29878	135196
181	30050	135063
182	30191	134789
183	30354	134614
184	30515	134433
185	30677	134255
186	30901	134345
187	31095	134306
188	31264	134157
189	31437	134021
190	31586	133787
191	31696	133387
192	31870	133262
193	32012	133001
194	32166	132790
195	32367	132771
196	32531	132601
197	32686	132397
198	32856	132253
199	32980	131921
200	33146	131763
201	33295	131535
202	33451	131333
203	33636	131249
204	33800	131079
205	33975	130953
206	34113	130686
207	34290	130569
208	34437	130335
209	34570	130049
210	34749	129940
211	34900	129725
212	35056	129526
213	35204	129303
214	35333	129008
215	35485	128798
216	35641	128605
217	35787	128374
218	35928	128128
219	36096	127979
220	36289	127916
221	36435	127687
222	36579	127453
223	36732	127250
224	36892	127075
225	37045	126872
226	37189	126640
227	37311	126336
228	37477	126178
229	37669	126110
230	37794	125819
231	37960	125661
232	38143	125563
233	38300	125378
234	38480	125265
235	38679	125216
236	38862	125115
237	39043	125003
238	39218	124875
239	39344	124590
240	39475	124322
241	39603	124047
242	39733	123778
243	39881	123566
244	40022	123333
245	40160	123094
246	40344	122995
247	40489	122776
248	40639	122571
249	40820	122461
250	40946	122186
251	41084	121950
252	41219	121703
253	41327	121380
254	41489	121215
255	41606	120919
256	41760	120731
257	41920	120563
258	42068	120358
259	42219	120163
260	42340	119883
261	42521	119773
262	42640	119491
263	42821	119380
264	42963	119163
265	43156	119085
266	43319	118924
267	43480	118760
268	43605	118496
269	43747	118280
270	43876	118028
271	44031	117849
272	44199	117703
273	44327	117450
274	44469	117238
275	44609	117019
276	44752	116810
277	44914	116649
278	45042	116400
279	45178	116173
280	45291	115888
281	45408	115613
282	45557	115422
283	45700	115217
284	45844	115014
285	46004	114851
286	46152	114656
287	46297	114457
288	46422	114210
289	46564	114003
290	46712	113810
291	46875	113656
292	47002	113415
293	47127	113170
294	47247	112913
295	47408	112755
296	47536	112518
297	47708	112387
298	47855	112196
299	48012	112028
300	48158	111836
301	48317	111674
302	48434	111414
303	48570	111200
304	48744	111073
305	48910	110927
306	49149	110947
307	49537	111299
308	49783	111328
309	50037	111372
310	50275	111381
311	50497	111353
312	50627	111122
313	50769	110916
314	50886	110658
315	51029	110456
316	51196	110305
317	51354	110137
318	51510	109964
319	51668	109795
320	51825	109624
321	51978	109446
322	52181	109371
323	52342	109207
324	52501	109041
325	52610	108772
326	52816	108701
327	53062	108714
328	53232	108567
329	53439	108497
330	53604	108342
331	53768	108184
332	53935	108032
333	54102	107880
334	54214	107619
335	54390	107486
336	54562	107343
337	54709	107152
338	54896	107039
339	55044	106851
340	55222	106720
341	55359	106510
342	55504	106316
343	55649	106122
344	55826	105988
345	56005	105860
346	56161	105688
347	56343	105563
348	56523	105434
349	56680	105264
350	56804	105032
351	56924	104793
352	57100	104656
353	57266	104503
354	57472	104422
355	57634	104259
356	57797	104100
357	57943	103910
358	58096	103732
359	58220	103502
360	58407	103385
361	58605	103288
362	58794	103172
363	59016	103117
364	59220	103028
365	59389	102877
366	59563	102735
367	59709	102544
368	59883	102402
369	60106	102343
370	60283	102206
371	60453	102056
372	60589	101848
373	60747	101679
374	60903	101505
375	61087	101378
376	61249	101216
377	61399	101032
378	61635	100991
379	61797	100827
380	61953	100654
381	62145	100539
382	62291	100349
383	62478	100225
384	62705	100165
385	62982	100185
386	63175	100069
387	63351	99924
388	63517	99765
389	63672	99591
390	63895	99520
391	64078	99387
392	64295	99306
393	64495	99198
394	64667	99047
395	64835	98890
396	65013	98748
397	65150	98543
398	65374	98471
399	65547	98321
400	65719	98169
401	65925	98067
402	66173	98028
403	66325	97845
404	66472	97656
405	66662	97531
406	66809	97341
407	66962	97161
408	67245	97169
409	67437	97044
410	67615	96898
411	67755	96700
412	68029	96690
413	68187	96517
414	68423	96451
415	68628	96343
416	68782	96163
417	68945	95996
418	69161	95901
419	69371	95798
420	69568	95676
421	69749	95533
422	69898	95346
423	70054	95167
424	70215	94997
425	70369	94817
426	70594	94732
427	70763	94571
428	70947	94430
429	71115	94269
430	71255	94070
431	71431	93918
432	71617	93780
433	71794	93630
434	71977	93487
435	72195	93390
436	72356	93218
437	72524	93056
438	72687	92888
439	72813	92671
440	72973	92499
441	73105	92290
442	73380	92263
443	73512	92056
444	73682	91896
445	73863	91750
446	74039	91596
447	74212	91440
448	74397	91297
449	74585	91160
450	74780	91029
451	75028	90963
452	75191	90793
453	75376	90651
454	75530	90470
455	75708	90319
456	75899	90182
457	76070	90021
458	76216	89832
459	76361	89642
460	76541	89491
461	76740	89364
462	76925	89220
463	77119	89085
464	77316	88955
465	77502	88811
466	77711	88694
467	77889	88541
468	78044	88361
469	78165	88143
470	78314	87958
471	78482	87793
472	78655	87635
473	78823	87470
474	78965	87277
475	79119	87098
476	79276	86921
477	79440	86752
478	79627	86609
479	79811	86461
480	79990	86310
481	80178	86166
482	80321	85975
483	80464	85784
484	80590	85575
485	80750	85403
486	80866	85184
487	80999	84982
488	81171	84823
489	81298	84616
490	81477	84464
491	81796	84456
492	81985	84313
493	82152	84148
494	82294	83957
495	82435	83764
496	82563	83559
497	82704	83369
498	82854	83186
499	83013	83013
500	83167	82835
501	83314	82651
502	83434	82439
503	83535	82209
504	83755	82097
505	83915	81925
506	84027	81707
507	84181	81530
508	84333	81351
509	84480	81167
510	84628	80985
511	84765	80791
512	84946	80641
513	85097	80462
514	85264	80297
515	85429	80131
516	85576	79948
517	85714	79757
518	85835	79550
519	86008	79392
520	86129	79186
521	86263	78992
522	86460	78855
523	86578	78648
524	86731	78471
525	86879	78290
526	87022	78105
527	87166	77921
528	87333	77757
529	87480	77577
530	87645	77412
531	87764	77205
532	87880	76998
533	88031	76821
534	88168	76632
535	88322	76458
536	88448	76260
537	88594	76079
538	88736	75895
539	88876	75709
540	89075	75574
541	89208	75382
542	89362	75209
543	89514	75034
544	89705	74891
545	89824	74689
546	89918	74466
547	90069	74290
548	90253	74142
549	90399	73963
550	90526	73768
551	90675	73591
552	90806	73400
553	90949	73219
554	91051	73005
555	91196	72825
556	91339	72645
557	91477	72460
558	91616	72276
559	91795	72125
560	91940	71946
561	92078	71762
562	92221	71582
563	92362	71400
564	92510	71224
565	92670	71058
566	92827	70889
567	92951	70695
568	93123	70538
569	93238	70337
570	93387	70163
571	93551	70000
572	93702	69826
573	93844	69647
574	93999	69477
575	94190	69334
576	94377	69188
577	94532	69018
578	94644	68817
579	94802	68650
580	94956	68479
581	95100	68302
582	95263	68138
583	95402	67957
584	95581	67806
585	95728	67630
586	95902	67474
587	96117	67347
588	96288	67189
589	96440	67018
590	96581	66839
591	96721	66659
592	96920	66520
593	97110	66375
594	97266	66206
595	97459	66063
596	97622	65899
597	97806	65749
598	97999	65605
599	98131	65420
600	98283	65249
601	98468	65100
602	98616	64926
603	98759	64749
604	98946	64601
605	99129	64450
606	99289	64284
607	99495	64148
608	99653	63980
609	99797	63804
610	99953	63636
611	100134	63483
612	100311	63329
613	100473	63164
614	100633	62997
615	100802	62838
616	101005	62698
617	101188	62546
618	101362	62389
619	101546	62238
620	101699	62068
621	101900	61926
622	102133	61804
623	102309	61647
624	102528	61517
625	102739	61380
626	102954	61247
627	103141	61096
628	103322	60942
629	103493	60782
630	103680	60630
631	103815	60449
632	104007	60301
633	104183	60143
634	104354	59983
635	104504	59810
636	104675	59650
637	104866	59501
638	105098	59375
639	105262	59209
640	105478	59074
641	105642	58909
642	105791	58736
643	105935	58560
644	106173	58436
645	106394	58303
646	106625	58174
647	106811	58020
648	106943	57838
649	107120	57680
650	107313	57530
651	107483	57368
652	107665	57212
653	107828	57047
654	108031	56902
655	108204	56741
656	108462	56624
657	108766	56532
658	108918	56359
659	109076	56190
660	109252	56031
661	109418	55866
662	109570	55694
663	109743	55532
664	110074	55451
665	110260	55295
666	110523	55178
667	110789	55063
668	110951	54895
669	111143	54742
670	111350	54596
671	111570	54457
672	111772	54308
673	111935	54141
674	112137	53992
675	112314	53831
676	112494	53671
677	112693	53520
678	112839	53345
679	113014	53183
680	113204	53028
681	113409	52880
682	113578	52715
683	113742	52547
684	113891	52373
685	114056	52206
686	114213	52036
687	114376	51868
688	114522	51693
689	114696	51530
690	114861	51363
691	114951	51163
692	115143	51008
693	115385	50875
694	115543	50706
695	115715	50542
696	115889	50379
697	116075	50221
698	116210	50042
699	116374	49874
700	116509	49695
701	116684	49532
702	116864	49372
703	117019	49201
704	117217	49048
705	117409	48892
706	117583	48729
707	117702	48543
708	117900	48390
709	118075	48228
710	118183	48038
711	118344	47869
712	118529	47711
713	118677	47537
714	118790	47350
715	118940	47177
716	119080	47001
717	119241	46833
718	119391	46660
719	119533	46485
720	119699	46319
721	119844	46145
722	119993	45972
723	120111	45788
724	120273	45620
725	120753	45573
726	121096	45473
727	121404	45359
728	121670	45229
729	121786	45044
730	122045	44911
731	122300	44776
732	122498	44620
733	122758	44487
734	123021	44354
735	123283	44221
736	123538	44084
737	123787	43946
738	124000	43794
739	124202	43638
740	124376	43473
741	124527	43299
742	124677	43125
743	124926	42985
744	125078	42812
745	125265	42650
746	125423	42479
747	125574	42305
748	125759	42143
749	125952	41984
750	126133	41820
751	126288	41648
752	126471	41485
753	126630	41314
754	126800	41147
755	126958	40976
756	127128	40808
757	127337	40653
758	127513	40488
759	127663	40314
760	127822	40144
761	127999	39978
762	128118	39795
763	128334	39642
764	128518	39479
765	128687	39311
766	128847	39141
767	129020	38974
768	129172	38802
769	129317	38627
770	129474	38456
771	129632	38285
772	129793	38115
773	129949	37943
774	130101	37771
775	130255	37599
776	130407	37427
777	130575	37259
778	130745	37092
779	130930	36929
780	131139	36772
781	131287	36599
782	131424	36422
783	131585	36253
784	131737	36080
785	131990	35936
786	132147	35765
787	132280	35588
788	132477	35428
789	132660	35264
790	132836	35098
791	133048	34942
792	133214	34773
793	133371	34602
794	133616	34454
795	133806	34292
796	133930	34112
797	134101	33945
798	134258	33774
799	134432	33608
800	134584	33436
801	134739	33264
802	134908	33097
803	135060	32925
804	135213	32753
805	135384	32586
806	135535	32414
807	135691	32243
808	135857	32075
809	136027	31907
810	136201	31741
811	136374	31574
812	136546	31407
813	136714	31239
814	136849	31064
815	136973	30886
816	137125	30714
817	137281	30544
818	137431	30372
819	137613	30207
820	137778	30039
821	137982	29879
822	138140	29709
823	138360	29552
824	138519	29382
825	138732	29224
826	138906	29057
827	139047	28884
828	139281	28729
829	139516	28575
830	139669	28404
831	139848	28238
832	140009	28069
833	140172	27900
834	140328	27729
835	140486	27559
836	140655	27391
837	140824	27223
838	140994	27056
839	141157	26887
840	141312	26716
841	141489	26550
842	141653	26381
843	141799	26209
844	141953	26038
845	142126	25871
846	142305	25705
847	142482	25539
848	142688	25378
849	142844	25207
850	143025	25042
851	143232	24880
852	143411	24714
853	143573	24545
854	143744	24377
855	143901	24207
856	144072	24040
857	144235	23871
858	144413	23704
859	144560	23533
860	144695	23359
861	144854	23190
862	145006	23019
863	145159	22849
864	145316	22679
865	145492	22512
866	145619	22338
867	145745	22164
868	145898	21993
869	146060	21825
870	146221	21656
871	146324	21478
872	146548	21319
873	146696	21148
874	146841	20977
875	146983	20805
876	147093	20630
877	147247	20460
878	147387	20288
879	147501	20113
880	147662	19945
881	147800	19773
882	147951	19604
883	148122	19436
884	148288	19269
885	148461	19102
886	148633	18935
887	148808	18768
888	148980	18601
889	149128	18431
890	149284	18262
891	149447	18094
892	149590	17924
893	149716	17751
894	149883	17584
895	150033	17414
896	150184	17245
897	150308	17072
898	150467	16904
899	150648	16738
900	150817	16571
901	150962	16401
902	151112	16232
903	151226	16059
904	151372	15889
905	151503	15718
906	151693	15554
907	151828	15383
908	151974	15214
909	152148	15047
910	152276	14876
911	152388	14704
912	152556	14537
913	152718	14369
914	152838	14198
915	152980	14028
916	153106	13858
917	153249	13688
918	153390	13519
919	153589	13355
920	153833	13195
921	153994	13027
922	154200	12863
923	154332	12693
924	154479	12525
925	154605	12355
926	154746	12186
927	154896	12017
928	155076	11851
929	155180	11680
930	155340	11512
931	155505	11345
932	155658	11178
933	155803	11009
934	155926	10839
935	156054	10670
936	156175	10500
937	156338	10333
938	156484	10165
939	156619	9996
940	156778	9829
941	156916	9661
942	157033	9491
943	157179	9324
944	157322	9156
945	157477	8989
946	157587	8819
947	157729	8651
948	157859	8483
949	158036	8317
950	158174	8149
951	158288	7980
952	158444	7814
953	158607	7647
954	158776	7481
955	158964	7316
956	159112	7149
957	159301	6983
958	159473	6817
959	159607	6650
960	159787	6484
961	159919	6317
962	160068	6150
963	160210	5982
964	160368	5816
965	160484	5648
966	160623	5481
967	160756	5314
968	160910	5147
969	161062	4981
970	161196	4814
971	161319	4647
972	161436	4479
973	161602	4313
974	161785	4148
975	161911	3981
976	162099	3816
977	162218	3649
978	162359	3482
979	162526	3316
980	162707	3151
981	162903	2986
982	163070	2820
983	163213	2653
984	163322	2487
985	163466	2321
986	163612	2154
987	163775	1989
988	163905	1823
989	164079	1657
990	164308	1492
991	164474	1326
992	164700	1161
993	164869	995
994	165020	829
995	165137	663
996	165297	497
997	165487	331
998	165631	165
999	165795	0
